text,intent,maturity_score,entities,category,metadata
"Technol Forecast Soc Change 88:360–369
Tushman ML, Anderson P (1986) Technological discontinuities and organizational environments.",others,1.0,"[('Technol', 'ORG'), ('Anderson P', 'PERSON'), ('1986', 'DATE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"However, according to a survey (Capgemini 
Consulting 2013) this lack of alignment with digital strategy is rather worrisome.",Digital Strategy,0.62,"[('2013', 'DATE')]",Business Models,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"(2013)
MIS Quarterly
Quantitative (70 branches of a 
large Indian bank)
India
The authors show how informa-
tion quality acts as a key digital 
resource and a critical anteced-
ent to customer-side dynamic 
capabilities that enable a rapid 
sense-and-respond to customer 
needs.",others,1.0,"[('2013', 'DATE'), ('70', 'CARDINAL'), ('Indian', 'NORP'), ('India', 'GPE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Given 
the high intensity of interactive digital connectivity between the outside and 
inside of a company, traditional enterprise platforms (like ERP) and the ‘old’ 
supply chain management integration paradigm are in many cases not the 
most suitable solution anymore.",others,4.0,"[('platforms', 'TECHNOLOGY'), ('ERP', 'ORG')]",Technology and Infrastructure,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
When new technologies cause great firms to fail.,others,4.0,[],Technology and Infrastructure,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"2017, p. 82)
254
	
S. Nadkarni, R. Prügl 
1 3
Table 2   (continued)
Aggregate dimension
Second order themes
Examples of first order concepts
Illustrative quotes
Examples of other sources addressing 
the second-order theme
Managerial and organiza-
tional capabilities
Managerial capabilities, organiza-
tional capabilities
‘Organizations can promote digital 
transformation through building the 
dynamic managerial capabilities 
of their top management’ (Li et al.",others,1.0,"[('2017', 'DATE'), ('82', 'CARDINAL'), ('254', 'CARDINAL'), ('Nadkarni', 'GPE'), ('R.', 'NORP'), ('1 3', 'CARDINAL'), ('Second', 'ORDINAL'), ('first', 'ORDINAL'), ('second', 'ORDINAL'), ('Managerial', 'ORG'), ('Li', 'PERSON')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Given the immense challenges of 
digital transformation and the claim for a new mindset and different skills, CEOs or 
even CIOs are conceivably not the best match (Singh and Hess 2017).",Organizational Change,4.0,"[('Singh', 'GPE'), ('2017', 'DATE')]",Technology and Infrastructure,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"First, by reviewing the literature on techno-
logical disruption we hope to derive implications regarding technology adop-
tion and integration.",others,1.0,"[('First', 'ORDINAL')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Eur J Inf 
Syst 12:282–296
Danneels E (2004) Disruptive technology reconsidered: a critique and research agenda.",others,1.0,[],Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Using our 
thematic map as a lens to view future research opportunities, we focus on the 
two dimensions of technology and actor.",others,1.0,"[('two', 'CARDINAL')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"In fact, while digital technologies significantly help to optimize and acceler-
ate many work processes and thereby increase productivity, incumbents must be aware 
that many employees might not keep pace with this digital high-speed train and feel 
left behind.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"This 
case study resulted in the develop-
ment of an aligning process model 
that is comprised of three phases 
(exploratory, building, and extend-
ing) and generalizable organiza-
tional aligning actions that form 
the organization’s sensing, seizing, 
and transforming capacities
300
	
S. Nadkarni, R. Prügl 
1 3
Table 6   Database—technological disruption and corporate entrepreneurship sample (28 and 32 studies respectively, in alphabetical order)
Authors (Year)
Outlet
Methodology (sample)
Region
Key findings
Technological disruption (28 studies)
Anderson and Tushman (1990)
Administrative Science Quarterly
Quantitative (Longitudinal data 
across three U.S. industries: 
cement, airplanes, mini-computer)
U.S
This paper empirically explores when 
and how dominant designs emerge 
from technological discontinuities 
and which firms pioneer dominant 
designs.",Disruptive Innovation Theory,4.0,"[('three', 'CARDINAL'), ('300', 'CARDINAL'), ('Nadkarni', 'GPE'), ('R.', 'NORP'), ('1 3', 'CARDINAL'), ('28', 'CARDINAL'), ('32', 'CARDINAL'), ('28', 'CARDINAL'), ('Anderson', 'PERSON'), ('Tushman', 'PERSON'), ('1990', 'DATE'), ('three', 'CARDINAL'), ('U.S.', 'GPE'), ('U.S', 'GPE')]",Technology and Infrastructure,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"London and New York, pp 41–48
Leonard-Barton D (1992) Core capabilities and core rigidities: a paradox in managing new product devel-
opment.",others,1.0,"[('London', 'GPE'), ('New York', 'GPE'), ('pp 41–48', 'ORG'), ('Leonard-Barton', 'ORG'), ('1992', 'DATE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"2017) and instant 
access to data via mobile technologies (Berman 2012) profoundly change the 
long-established seller–customer relationship.",others,1.0,"[('2017', 'DATE'), ('Berman', 'PERSON'), ('2012', 'DATE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"(2015)
Industrial and Corporate Change
Qualitative (Renault’s ZE Initiative, 
a program to develop and market 
EV technology—observation over 
a 7-year period)
France
The article proposes three manage-
ment levers for systemic and disrup-
tive innovation scale-up: autono-
mous spanning units, a portfolio of 
viable local systems, and concurrent 
platform management
Roy and Sarkar (2016)
Strategic Management Journal
Quantitative (Database of 141 Euro-
pean, Japanese, and U.S. robot 
manufacturers from 1978 to 1987)
International
The study explores the relationship 
between a firm’s organization and 
its ability to face a radical techno-
logical change.",others,1.0,"[('2015', 'DATE'), ('Industrial and Corporate Change\nQualitative', 'ORG'), ('Renault', 'ORG'), ('EV', 'ORG'), ('7-year', 'DATE'), ('France', 'GPE'), ('three', 'CARDINAL'), ('Roy', 'PERSON'), ('Sarkar', 'PERSON'), ('2016', 'DATE'), ('Management Journal\nQuantitative (Database', 'ORG'), ('141', 'CARDINAL'), ('pean', 'NORP'), ('Japanese', 'NORP'), ('U.S.', 'GPE'), ('1978', 'DATE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Inf Syst Res 21(4):724–735
Yoo Y, Boland RJ Jr, Lyytinen K, Majchrzak  A (2012) Organizing for innovation in the digitized world.",others,1.0,"[('Inf Syst Res', 'PERSON'), ('Yoo', 'PERSON'), ('Boland RJ Jr, Lyytinen K', 'ORG'), ('Majchrzak', 'ORG'), ('2012', 'DATE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"J Manag Inf Syst 32(1):39–81
Karimi J, Walter Z (2016) Corporate entrepreneurship, disruptive business model innovation adoption, 
and its performance: the case of the newspaper industry.",Disruptive Innovation Theory,0.3,"[('2016', 'DATE')]",Business Models,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"And with the emergence of multi-sided business models also incum-
bents are starting to disrupt new markets (Weill and Woerner 2015).",others,1.0,"[('Weill', 'NORP'), ('2015', 'DATE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Entrepreneursh Theory Pract 23(3):169–189
Zammuto RF, Griffith TL, Majchrzak A, Dougherty DJ, Faraj S (2007) Information technology and the 
changing fabric of organization.",others,1.0,"[('Entrepreneursh Theory Pract', 'PERSON'), ('23(3):169–189', 'CARDINAL'), ('Griffith TL', 'ORG'), ('Majchrzak A', 'ORG'), ('Dougherty DJ', 'PERSON'), ('Faraj S', 'PERSON'), ('2007', 'DATE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Seamless integration of digital technologies requires building an 
agile and scalable digital infrastructure that enables continuous scalability 
of new initiatives (Sia et al.",others,1.0,"[('Sia', 'ORG'), ('al', 'PERSON')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"2017), drive transformations that go far beyond internal process optimizations as 
they potentially induce drastic changes to business models (Rayna and Striukova 
2016), organizational strategy (Bharadwaj et al.",others,1.0,"[('2017', 'DATE'), ('Rayna', 'PERSON'), ('Striukova', 'ORG'), ('2016', 'DATE')]",Operational Processes,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Finally, regarding technology integration, the current state of research empha-
sizes the importance of flexible IT (Cha et al.",others,1.0,[],Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"In the course of the years a shift of attention 
occurred from technological to managerial and organizational issues (Markus and 
Benjamin 1997; Doherty and King 2005).",others,1.0,"[('the years', 'DATE'), ('Markus', 'PERSON'), ('Benjamin 1997', 'PERSON'), ('Doherty', 'ORG'), ('2005', 'DATE')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"Strateg Manag J 
11:5–15
Habtay SR, Holmén M (2014) Incumbents’ responses to disruptive business model innovation: the mod-
erating role of technology vs. market-driven innovation.",Business Model Innovation,0.3,"[('Strateg Manag J', 'PERSON'), ('11:5–15', 'CARDINAL'), ('Habtay SR', 'ORG'), ('2014', 'DATE')]",Business Models,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
"First and foremost, research calls for a shift in the tradi-
tional view of IT strategy as being subordinate to business strategy (El Sawy et al.",others,1.0,"[('First', 'ORDINAL'), ('El Sawy', 'ORG'), ('al', 'PERSON')]",Uncategorized,"title: Digital transformation: a review, synthesis and opportunities for future research; author: Swen Nadkarni ; creationDate: D:20200418101839+05'30'; modDate: D:20210319053803+05'30'; subject: Management Review Quarterly, https://doi.org/10.1007/s11301-020-00185-7; keywords: Digital transformation,Digital disruption,Technological disruption,Corporate entrepreneurship,Literature review,Research agenda"
Strategies for digitalization in manufacturing firms.,others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital transformation: A review and research agenda 
Dmitry Plekhanov *, Henrik Franke, Torbjørn H. Netland 
ETH Zürich, Department of Management, Technology, and Economics, Chair of Production and Operations Management, Weinbergstrasse, 56/58, 8092, Zürich, 
Switzerland   
A R T I C L E  I N F O   
Keywords: 
Digital transformation 
Digitalization 
Digital ecosystems 
Organizational change 
Literature review 
A B S T R A C T   
The ongoing and ubiquitous digital transformation challenges the raison d’ˆetre of firms and forces managers to 
rethink business strategies and operations and academics to reconsider related theories.",organizational_architecture,4.0,"[('Digital', 'ORG'), ('Dmitry Plekhanov', 'PERSON'), ('Henrik Franke', 'PERSON'), ('Torbjørn H. Netland', 'PERSON'), ('ETH Zürich', 'ORG'), ('Department of Management, Technology', 'ORG'), ('Operations Management', 'ORG'), ('56/58', 'CARDINAL'), ('8092', 'DATE'), ('Zürich', 'PERSON'), ('Switzerland', 'GPE'), ('Digital', 'ORG'), ('Digital', 'ORG')]",Technology and Infrastructure,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"When all products are 
digital: Complexity and intangible value in the ecosystem of digitizing firms.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital transformation: Five 
recommendations for the digitally conscious firm.",Organizational Change,0.16,"[('Digital', 'ORG'), ('Five', 'CARDINAL')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"The 
digitalization of operations and supply chain management: Theoretical and 
methodological implications.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digitalization and the greening of supply 
chains.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"In 
digital ecosystems, firms tend to replace such linear processes with 
distributed and interconnected forms of production, in which activities 
occur concurrently (Bürger et al., 2019; Srai et al., 2016).",Et Al,4.0,"[('2019', 'DATE'), ('Srai et al.', 'PERSON'), ('2016', 'DATE')]",Technology and Infrastructure,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
Competing in digital ecosystems.,others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Introduction 
When firms use digital technologies to create new or modify existing 
business models and processes or to support the transformation of 
organizational structures, resources, or relationships with internal and 
external actors, scholars refer to this as digital transformation (DT) 
(Brynjolfsson & Hitt, 2000; Frank et al., 2019; Loebbecke & Picot, 2015; 
Vial, 2019).",Transformation Digital Innovation,0.48,"[('Brynjolfsson & Hitt', 'ORG'), ('2000', 'DATE'), ('Frank et al.', 'PERSON'), ('2019', 'DATE'), ('Loebbecke & Picot', 'ORG'), ('2015', 'DATE'), ('2019', 'DATE')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital transformation and organization design: 
An integrated approach.",Organizational Change,0.16,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Emerging from the discussion of the reviewed literature, we propose a 
set of promising future research avenues for DT on organizational power 
and emerging forms of organization in the digital economy.",others,1.0,"[('DT', 'WORK_OF_ART')]",Business Models,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Revamping your business through digital 
transformation.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Supply chain 
digitalization: Past, present and future.",others,4.0,[],Technology and Infrastructure,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Our analysis demonstrates how firms are being transformed from 
stand-alone entities into part of digital ecosystems, thereby contributing 
to the theory of the firm in the digital age.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
Mastering the digital transformation of sales.,Organizational Change,0.16,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"The digital transformation of 
traditional businesses.",Organizational Change,0.16,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"The notion of “distributed 
manufacturing” is one of the prominent findings from the DT literature.",others,1.0,"[('one', 'CARDINAL'), ('DT', 'WORK_OF_ART')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"To enable the effective adoption and use of digital technologies, 
firms alter their organizational structures by establishing innovation 
labs, corporate innovation centers, and so-called Digital Business Units 
that have higher autonomy and designated budgets to catalyze organi­
zational practices and technological know-how (Salvi et al., 2021; Seran 
& Bez, 2021; Wiesbock & Hess, 2019).",Organizational Change,0.14,"[('Digital Business Units', 'ORG'), ('2021', 'DATE'), ('Seran \n& Bez', 'ORG'), ('2021', 'DATE'), ('Wiesbock & Hess', 'ORG'), ('2019', 'DATE')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Firms are shifting from the exclusive use of digital assets that they 
fully control to the use of a variety of digital solutions developed 
internally and externally or co-designed with external partners (Gregory 
et al., 2018).",Et Al,0.14,"[('Gregory', 'ORG'), ('al.', 'PERSON'), ('2018', 'DATE')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"When triple-A supply chains meet digitalization: The 
case of JD.com’s C2M model.",others,4.0,"[('JD.com’s C2M', 'ORG')]",Technology and Infrastructure,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Finally, we understand DT of the external environment 
as changes induced by digital technologies concerning interactions be­
tween the firm and external partners, suppliers, intermediaries, and 
customers, and the resulting outcomes, e.g., competition and the 
emergence of digital ecosystems.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital ecosystems exist in technology-intensive industries and 
markets.",others,1.0,"[('Digital', 'ORG')]",Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"The membership of a digital ecosystem not only affects governance 
and organizational structures (as described above), but also tangibly 
impacts a firm’s production system.",others,1.0,[],Uncategorized,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"Digital 
servitization business models in ecosystems: A theory of the firm.",others,1.0,"[('Digital', 'ORG')]",Business Models,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
"To summarize, the arena in which digital business model innovations 
are developed broadens from single firms into interconnected digital 
ecosystems of many firms.",Organizational Change,0.3,[],Business Models,"title: Digital transformation: A review and research agenda; author: Dmitry Plekhanov; creationDate: D:20231222052905Z; modDate: D:20231222060601Z; subject: European Management Journal, 41 (2023) 821-844. doi:10.1016/j.emj.2022.09.007; keywords: Digital transformation,Digitalization,Digital ecosystems,Organizational change,Literature review"
