,palavra_chave,score,intent,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
211,strategic research dt,0.4,Transformation Digital Innovation,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,11.0,,,,,,,,
212,transformational information technology,0.43,Transformation Digital Innovation,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,12.0,,,,,,,,
213,use digital technologies,0.48,Transformation Digital Innovation,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,13.0,,,,,,,,
214,dremel et al,0.17,Et Al,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,14.0,,,,,,,,
215,et al,0.14,Et Al,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,15.0,,,,,,,,
216,organizational actors,0.42,Digital Platforms Ecosystems,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,16.0,,,,,,,,
217,et al 2016,0.08,Et Al,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,17.0,,,,,,,,
218,kane et al,0.04,Et Al,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,18.0,,,,,,,,
219,transformation digital innovation,0.54,Transformation Digital Innovation,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,19.0,,,,,,,,
220,digital business ecosystems,0.47,Business Ecosystems,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0,,,,,,,
221,organizational change,0.48,Organizational Change,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,1.0,,,,,,,
222,organizational change innovation,0.43,Organizational Change,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,2.0,,,,,,,
223,digital transformation,1.0,Organizational Change,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,3.0,,,,,,,
224,organizational change literature,0.38,Organizational Change,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,4.0,,,,,,,
225,organizational change processes,0.43,Organizational Change,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,5.0,,,,,,,
226,dt organizational change,0.48,Organizational Change,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,6.0,,,,,,,
227,business ecosystems,0.18,Business Ecosystems,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,7.0,,,,,,,
228,organizational transformation,0.65,Organizational Change,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,8.0,,,,,,,
229,digital business strategy,0.6,Organizational Change,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,9.0,,,,,,,
230,digital organizational,0.66,Organizational Change,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,10.0,,,,,,,
231,turbulent digital business,0.59,Organizational Change,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,11.0,,,,,,,
232,digital business,0.67,Organizational Change,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,12.0,,,,,,,
233,wiley online library,0.06,Wiley Online Library,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,13.0,,,,,,,
234,digital transformation organizational,0.86,Organizational Change,214.0,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,14.0,,,,,,,
235,innovation mechanisms dt,0.38,Organizational Change,215.0,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,15.0,,,,,,,
236,organizational change used,0.43,Organizational Change,216.0,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,16.0,,,,,,,
237,organizational change explained,0.42,Organizational Change,217.0,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,17.0,,,,,,,
238,organizational processes change,0.4,Organizational Change,218.0,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,18.0,,,,,,,
239,organizational change process,0.45,Organizational Change,219.0,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,19.0,,,,,,,
240,digital transformation,0.77,Digital Transformation,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0,,,,,,
241,research digital transformation,0.75,Assess Digital Transformation,221.0,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,1.0,,,,,,
242,transformation digital resources,0.74,Digital Transformation,222.0,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,2.0,,,,,,
243,digitalization digital transformation,0.75,Digital Transformation,223.0,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,3.0,,,,,,
244,conceptualize digital transformation,0.76,Assess Digital Transformation,224.0,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,4.0,,,,,,
245,new digital business,0.58,Digital Transformation Strategic,225.0,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,5.0,,,,,,
246,digital transformation strategic,0.8,Digital Transformation Strategic,226.0,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,6.0,,,,,,
247,digital transformation assets,0.79,Digital Transformation Strategic,227.0,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,7.0,,,,,,
248,digital transformation performance,0.74,Assess Digital Transformation,228.0,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,8.0,,,,,,
249,assesses digital transformation,0.77,Assess Digital Transformation,229.0,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,9.0,,,,,,
250,transformation digital technology,0.78,Digital Transformation,230.0,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,10.0,,,,,,
251,digital transformation regarding,0.76,Digital Transformation,231.0,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,11.0,,,,,,
252,digital transformation strategies,0.78,Digital Transformation Strategic,232.0,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,12.0,,,,,,
253,strategy digital transformation,0.78,Digital Transformation Strategic,233.0,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,13.0,,,,,,
254,assess digital transformation,0.78,Assess Digital Transformation,234.0,214.0,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,14.0,,,,,,
255,digital transformation organization,0.79,Digital Transformation,235.0,215.0,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,15.0,,,,,,
256,digital transformation important,0.73,Digital Transformation,236.0,216.0,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,16.0,,,,,,
257,discussed digital transformation,0.76,Digital Transformation,237.0,217.0,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,17.0,,,,,,
258,digital transformation conceptualized,0.77,Assess Digital Transformation,238.0,218.0,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,18.0,,,,,,
259,digitally digital transformation,0.75,Digital Transformation,239.0,219.0,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,19.0,,,,,,
260,capabilities digital transformation,0.12,Dynamic Capabilities Digital,240.0,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0,,,,,
261,dynamic capabilities digital,0.14,Dynamic Capabilities Digital,241.0,221.0,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,1.0,,,,,
262,digital transforming capabilities,0.09,Digital Transformation Ongoing,242.0,222.0,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,2.0,,,,,
263,digital transformation incumbent,0.11,Digital Transformation Ongoing,243.0,223.0,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,3.0,,,,,
264,digital transformation strategic,0.2,Digital Transformation Ongoing,244.0,224.0,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,4.0,,,,,
265,dynamic capabilities strategic,0.24,Dynamic Capabilities Digital,245.0,225.0,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,5.0,,,,,
266,new capabilities digital,0.12,Dynamic Capabilities Digital,246.0,226.0,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,6.0,,,,,
267,digital transformation findings,0.12,Digital Transformation Ongoing,247.0,227.0,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,7.0,,,,,
268,dynamic capabilities,0.15,Dynamic Capabilities Digital,248.0,228.0,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,8.0,,,,,
269,digital transformation ongoing,0.11,Digital Transformation Ongoing,249.0,229.0,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,9.0,,,,,
270,firm digital transformation,0.21,Digital Transformation Ongoing,250.0,230.0,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,10.0,,,,,
271,business model evolution,0.35,Business Model Transformation,251.0,231.0,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,11.0,,,,,
272,ongoing digital transformation,0.1,Digital Transformation Ongoing,252.0,232.0,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,12.0,,,,,
273,capabilities digital,0.13,Dynamic Capabilities Digital,253.0,233.0,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,13.0,,,,,
274,transformation business models,0.3,Business Model Transformation,254.0,234.0,214.0,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,14.0,,,,,
275,digital corporate strategy,0.31,Dynamic Capabilities Digital,255.0,235.0,215.0,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,15.0,,,,,
276,digital transformation business,0.22,Digital Transformation Ongoing,256.0,236.0,216.0,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,16.0,,,,,
277,business model transformation,0.29,Business Model Transformation,257.0,237.0,217.0,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,17.0,,,,,
278,digital strategy,0.19,Dynamic Capabilities Digital,258.0,238.0,218.0,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,18.0,,,,,
279,digital innovation,0.16,Digital Transformation Ongoing,259.0,239.0,219.0,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,19.0,,,,,
280,harvard business review,0.17,Sloan Management Review,260.0,240.0,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0,,,,
281,digital transformation,0.53,Digital Transformation Strategies,261.0,241.0,221.0,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,1.0,,,,
282,managing digital transformation,0.55,Digital Transformation Strategies,262.0,242.0,222.0,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,2.0,,,,
283,firm digital transformation,0.53,Digital Transformation Strategies,263.0,243.0,223.0,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,3.0,,,,
284,digital leadership,0.52,Digital Transformation Strategies,264.0,244.0,224.0,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,4.0,,,,
285,digital leaders,0.49,Digital Transformation Strategies,265.0,245.0,225.0,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,5.0,,,,
286,practitioner oriented journals,0.3,Sloan Management Review,266.0,246.0,226.0,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,6.0,,,,
287,sloan management review,0.2,Sloan Management Review,267.0,247.0,227.0,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,7.0,,,,
288,digital transformation practice,0.47,Digital Transformation Strategies,268.0,248.0,228.0,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,8.0,,,,
289,digital transformation strategies,0.54,Digital Transformation Strategies,269.0,249.0,229.0,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,9.0,,,,
290,digital transformation endeavours,0.55,Digital Transformation Strategies,270.0,250.0,230.0,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,10.0,,,,
291,digital transformation challenges,0.55,Digital Transformation Strategies,271.0,251.0,231.0,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,11.0,,,,
292,organizations digital transformation,0.58,Digital Transformation Strategies,272.0,252.0,232.0,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,12.0,,,,
293,strategy digital strategy,0.52,Digital Strategy,273.0,253.0,233.0,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,13.0,,,,
294,digital strategy,0.62,Digital Strategy,274.0,254.0,234.0,214.0,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,14.0,,,,
295,strategy digital,0.6,Digital Strategy,275.0,255.0,235.0,215.0,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,15.0,,,,
296,research digital transformation,0.56,Digital Transformation Strategies,276.0,256.0,236.0,216.0,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,16.0,,,,
297,digital strategy just,0.59,Digital Strategy,277.0,257.0,237.0,217.0,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,17.0,,,,
298,digital transformation literature,0.53,Digital Transformation Strategies,278.0,258.0,238.0,218.0,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,18.0,,,,
299,digital transformation activities,0.56,Digital Transformation Strategies,279.0,259.0,239.0,219.0,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,19.0,,,,
300,digital ecosystems,0.53,Industry Digital,280.0,260.0,240.0,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0,,,
301,digital innovation,0.68,Industry Digital,281.0,261.0,241.0,221.0,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,1.0,,,
302,digital transformation,1.0,Industry Digital,282.0,262.0,242.0,222.0,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,2.0,,,
303,firms digital transformation,0.81,Industry Digital,283.0,263.0,243.0,223.0,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,3.0,,,
304,distributed manufacturing prominent,0.3,Distributed Manufacturing,284.0,264.0,244.0,224.0,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,4.0,,,
305,distributed manufacturing,0.33,Distributed Manufacturing,285.0,265.0,245.0,225.0,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,5.0,,,
306,digital servitization business,0.66,Industry Digital,286.0,266.0,246.0,226.0,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,6.0,,,
307,digital sustainable entrepreneurship,0.41,Industry Digital,287.0,267.0,247.0,227.0,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,7.0,,,
308,firm capabilities vertical,0.17,Industry Digital,288.0,268.0,248.0,228.0,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,8.0,,,
309,organization digital economy,0.52,Industry Digital,289.0,269.0,249.0,229.0,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,9.0,,,
310,sustainability affects dt,0.27,Sustainability Affects Dt,290.0,270.0,250.0,230.0,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,10.0,,,
311,distributed manufacturing facilities,0.26,Distributed Manufacturing,291.0,271.0,251.0,231.0,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,11.0,,,
312,firm digital transformation,0.85,Industry Digital,292.0,272.0,252.0,232.0,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,12.0,,,
313,dt impact sustainability,0.31,Sustainability Affects Dt,293.0,273.0,253.0,233.0,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,13.0,,,
314,leverages distributed manufacturing,0.28,Distributed Manufacturing,294.0,274.0,254.0,234.0,214.0,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,14.0,,,
315,structure digital ecosystems,0.49,Industry Digital,295.0,275.0,255.0,235.0,215.0,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,15.0,,,
316,supply chains digital,0.54,Industry Digital,296.0,276.0,256.0,236.0,216.0,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,16.0,,,
317,digital innovation management,0.56,Industry Digital,297.0,277.0,257.0,237.0,217.0,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,17.0,,,
318,industry digital,0.67,Industry Digital,298.0,278.0,258.0,238.0,218.0,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,18.0,,,
319,firm hierarchical organization,0.19,Industry Digital,299.0,279.0,259.0,239.0,219.0,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,19.0,,,
320,digital transformation,1.0,Digital Transformation Research,300.0,280.0,260.0,240.0,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0,,
321,digital transformation literature,0.86,Digital Transformation Research,301.0,281.0,261.0,241.0,221.0,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,1.0,,
322,business model innovation,0.25,Business Model Innovation,302.0,282.0,262.0,242.0,222.0,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,2.0,,
323,digital business strategy,0.6,Digital Transformation Research,303.0,283.0,263.0,243.0,223.0,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,3.0,,
324,digital transformation research,0.92,Digital Transformation Research,304.0,284.0,264.0,244.0,224.0,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,4.0,,
325,digital transformation organizational,0.86,Digital Transformation Research,305.0,285.0,265.0,245.0,225.0,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,5.0,,
326,digital innovation,0.68,Digital Transformation Research,306.0,286.0,266.0,246.0,226.0,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,6.0,,
327,digital transformation review,0.89,Digital Transformation Research,307.0,287.0,267.0,247.0,227.0,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,7.0,,
328,digital business,0.67,Digital Transformation Research,308.0,288.0,268.0,248.0,228.0,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,8.0,,
329,research digital transformation,0.86,Digital Transformation Research,309.0,289.0,269.0,249.0,229.0,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,9.0,,
330,adopt digital transformation,0.91,Digital Transformation Research,310.0,290.0,270.0,250.0,230.0,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,10.0,,
331,digital transformation different,0.92,Digital Transformation Research,311.0,291.0,271.0,251.0,231.0,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,11.0,,
332,digital transformation new,0.96,Digital Transformation Research,312.0,292.0,272.0,252.0,232.0,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,12.0,,
333,disruptive innovation theory,0.29,Disruptive Innovation Theory,313.0,293.0,273.0,253.0,233.0,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,13.0,,
334,enabled organizational transformation,0.58,Digital Transformation Research,314.0,294.0,274.0,254.0,234.0,214.0,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,14.0,,
335,corporate entrepreneurship,0.13,Disruptive Innovation Theory,315.0,295.0,275.0,255.0,235.0,215.0,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,15.0,,
336,model innovation,0.3,Business Model Innovation,316.0,296.0,276.0,256.0,236.0,216.0,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,16.0,,
337,disruptive business model,0.27,Disruptive Innovation Theory,317.0,297.0,277.0,257.0,237.0,217.0,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,17.0,,
338,market technology capability,0.33,Business Model Innovation,318.0,298.0,278.0,258.0,238.0,218.0,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,18.0,,
339,market technology,0.35,Disruptive Innovation Theory,319.0,299.0,279.0,259.0,239.0,219.0,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,19.0,,
340,digital transformation,0.47,Transformation Digital Innovation,320.0,300.0,280.0,260.0,240.0,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0,
341,digital transformation strategy,0.5,Transformation Digital Innovation,321.0,301.0,281.0,261.0,241.0,221.0,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,1.0,
342,digital innovation,0.59,Transformation Digital Innovation,322.0,302.0,282.0,262.0,242.0,222.0,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,2.0,
343,organizational transformation digital,0.59,Transformation Digital Innovation,323.0,303.0,283.0,263.0,243.0,223.0,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,3.0,
344,research paper empirical,0.22,Et Al,324.0,304.0,284.0,264.0,244.0,224.0,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,4.0,
345,term digital technologies,0.51,Transformation Digital Innovation,325.0,305.0,285.0,265.0,245.0,225.0,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,5.0,
346,digital technologies alter,0.49,Transformation Digital Innovation,326.0,306.0,286.0,266.0,246.0,226.0,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,6.0,
347,impacts digital transformation,0.49,Transformation Digital Innovation,327.0,307.0,287.0,267.0,247.0,227.0,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,7.0,
348,digital innovation mis,0.58,Transformation Digital Innovation,328.0,308.0,288.0,268.0,248.0,228.0,208.0,188.0,168.0,148.0,128.0,108.0,88.0,68.0,48.0,28.0,8.0,8.0,
349,digital business strategy,0.7,Transformation Digital Innovation,329.0,309.0,289.0,269.0,249.0,229.0,209.0,189.0,169.0,149.0,129.0,109.0,89.0,69.0,49.0,29.0,9.0,9.0,
350,digital platforms ecosystems,0.79,Digital Platforms Ecosystems,330.0,310.0,290.0,270.0,250.0,230.0,210.0,190.0,170.0,150.0,130.0,110.0,90.0,70.0,50.0,30.0,10.0,10.0,
351,strategic research dt,0.4,Transformation Digital Innovation,331.0,311.0,291.0,271.0,251.0,231.0,211.0,191.0,171.0,151.0,131.0,111.0,91.0,71.0,51.0,31.0,11.0,11.0,
352,transformational information technology,0.43,Transformation Digital Innovation,332.0,312.0,292.0,272.0,252.0,232.0,212.0,192.0,172.0,152.0,132.0,112.0,92.0,72.0,52.0,32.0,12.0,12.0,
353,use digital technologies,0.48,Transformation Digital Innovation,333.0,313.0,293.0,273.0,253.0,233.0,213.0,193.0,173.0,153.0,133.0,113.0,93.0,73.0,53.0,33.0,13.0,13.0,
354,dremel et al,0.17,Et Al,334.0,314.0,294.0,274.0,254.0,234.0,214.0,194.0,174.0,154.0,134.0,114.0,94.0,74.0,54.0,34.0,14.0,14.0,
355,et al,0.14,Et Al,335.0,315.0,295.0,275.0,255.0,235.0,215.0,195.0,175.0,155.0,135.0,115.0,95.0,75.0,55.0,35.0,15.0,15.0,
356,organizational actors,0.42,Digital Platforms Ecosystems,336.0,316.0,296.0,276.0,256.0,236.0,216.0,196.0,176.0,156.0,136.0,116.0,96.0,76.0,56.0,36.0,16.0,16.0,
357,et al 2016,0.08,Et Al,337.0,317.0,297.0,277.0,257.0,237.0,217.0,197.0,177.0,157.0,137.0,117.0,97.0,77.0,57.0,37.0,17.0,17.0,
358,kane et al,0.04,Et Al,338.0,318.0,298.0,278.0,258.0,238.0,218.0,198.0,178.0,158.0,138.0,118.0,98.0,78.0,58.0,38.0,18.0,18.0,
359,transformation digital innovation,0.54,Transformation Digital Innovation,339.0,319.0,299.0,279.0,259.0,239.0,219.0,199.0,179.0,159.0,139.0,119.0,99.0,79.0,59.0,39.0,19.0,19.0,
360,digital business ecosystems,0.14,Business Ecosystems,340.0,320.0,300.0,280.0,260.0,240.0,220.0,200.0,180.0,160.0,140.0,120.0,100.0,80.0,60.0,40.0,20.0,0.0,0.0
361,organizational change,0.1,Organizational Change,341.0,321.0,301.0,281.0,261.0,241.0,221.0,201.0,181.0,161.0,141.0,121.0,101.0,81.0,61.0,41.0,21.0,1.0,1.0
362,organizational change innovation,0.15,Organizational Change,342.0,322.0,302.0,282.0,262.0,242.0,222.0,202.0,182.0,162.0,142.0,122.0,102.0,82.0,62.0,42.0,22.0,2.0,2.0
363,digital transformation,0.16,Organizational Change,343.0,323.0,303.0,283.0,263.0,243.0,223.0,203.0,183.0,163.0,143.0,123.0,103.0,83.0,63.0,43.0,23.0,3.0,3.0
364,organizational change literature,0.07,Organizational Change,344.0,324.0,304.0,284.0,264.0,244.0,224.0,204.0,184.0,164.0,144.0,124.0,104.0,84.0,64.0,44.0,24.0,4.0,4.0
365,organizational change processes,0.04,Organizational Change,345.0,325.0,305.0,285.0,265.0,245.0,225.0,205.0,185.0,165.0,145.0,125.0,105.0,85.0,65.0,45.0,25.0,5.0,5.0
366,dt organizational change,0.1,Organizational Change,346.0,326.0,306.0,286.0,266.0,246.0,226.0,206.0,186.0,166.0,146.0,126.0,106.0,86.0,66.0,46.0,26.0,6.0,6.0
367,business ecosystems,0.16,Business Ecosystems,347.0,327.0,307.0,287.0,267.0,247.0,227.0,207.0,187.0,167.0,147.0,127.0,107.0,87.0,67.0,47.0,27.0,7.0,7.0
